WesternWake	SouthernWake	SoutheastWake	NorthRaleigh	CentralRaleigh	WestRaleighMorrisville	EastRaleigh	NortheastWake
4587	4095	7072	6139	6326	2458	6242	9173
13283	19550	7122	10919	9571	10473	6589	12645
