WesternWake	SouthernWake	SoutheastWake	NorthRaleigh	CentralRaleigh	WestRaleighMorrisville	EastRaleigh	NortheastWake
58	65	55	52	51	34	42	102
2508	1679	188	739	621	1493	1298	459
2357	2720	4530	4648	4387	2236	6226	6610
2787	2373	3084	2844	2724	1324	1921	3832
34	23	22	17	26	8	10	19
803	984	578	665	616	579	524	986
9715	15801	5737	8093	7472	7257	2810	9810
