WesternWake	SouthernWake	SoutheastWake	NorthRaleigh	CentralRaleigh	WestRaleighMorrisville	EastRaleigh	NortheastWake
9342	12028	7255	8708	8190	6528	6400	11218
8528	11617	6939	8350	7707	6403	6431	10600
