DistrictName,AmericanIndian,Asian,Black,Hispanic,PacificIslander,Biracial,White
Western Wake,58,2508,2357,2787,34,803,9715
Southern Wake,65,1679,2720,2373,23,984,15801
Southeast Wake,55,188,4530,3084,22,578,5737
North Raleigh,52,739,4648,2844,17,665,8093
Central Raleigh,51,621,4387,2724,26,616,7472
West Raleigh/Morrisville,34,1493,2236,1324,8,579,7257
East Raleigh,42,1298,6226,1921,10,524,2810
Northeast Wake,102,459,6610,3832,19,986,9810
