DistrictName,2008,2009,2010,2011,2012
Western Wake,2269,2560,2685,4373,4587
Southern Wake,3157,3652,4406,4314,4095
Southeast Wake,6789,7656,7760,6723,7072
North Raleigh,5221,5843,6292,6230,6139
Central Raleigh,4171,4628,4688,6278,6326
West Raleigh/Morrisville,2657,2946,3134,2479,2458
East Raleigh,4135,4576,4833,5745,6242
Northeast Wake,7189,7989,8600,8750,9173
