DistrictName,Male,Female
Western Wake,9342,8528
Southern Wake,12028,11617
Southeast Wake,7255,6939
North Raleigh,8708,8350
Central Raleigh,8190,7707
West Raleigh/Morrisville,6528,6403
East Raleigh,6400,6431
Northeast Wake,11218,10600
