Code,School Name, Level,Grade Span,Calendar,Magnet Programs,School Membership 2012-13,GRD KI,GRD 1,GRD 2,GRD 3,GRD 4,GRD 5,GRD 6,GRD 7,GRD 8,GRD 9,GRD 10,GRD 11,GRD 12,GRD 13,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2011-12,NC ABC Results Performance Recognition 2011-12,"NC ABC Results Growth Recognition
2011-12",Met All AMO Targets,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Long-Range School Campus Capacity [LRSCC],LRSCC Percent Crowding (inc. Prog. Adjustment) ,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,ASCC Percent Crowding 
452,JEFFREYS GROVE ES,E,KI-5,T,,482,88,92,78,60,77,87,,,,,,,,,247,235,3,13,120,70,0,29,247,0.6%,2.7%,24.9%,14.5%,0.0%,6.0%,51.2%,160,33.2%,17,3.5%,29,6.0%,NO,83.3,Dst,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,32,482,28,471,517,88.4%,3,568,12.1%,84.9%
453,JONES DAIRY ES,E,KI-5,Y-R,,815,133,134,134,138,137,139,,,,,,,,,430,385,4,23,87,55,1,29,616,0.5%,2.8%,10.7%,6.7%,0.1%,3.6%,75.6%,134,16.4%,8,1.0%,14,1.7%,NO,91.0,HE,Hgh,Yes,Northeast Wake,Tom Benton,Northeastern Area,Andre Smith,Wake County,WAKE COUNTY,36,815,(78),682,912,97.7%,5,765,15.0%,106.5%
456,JOYNER ES,E,KI-5,T,Center for Spanish Language/IB PYP,705,126,126,117,122,106,108,,,,,,,,,369,336,6,15,125,129,4,20,406,0.9%,2.1%,17.7%,18.3%,0.6%,2.8%,57.6%,193,27.4%,25,3.6%,45,6.4%,NO,85.2,Dst,Exp,Yes,Central Raleigh,Christine Kushner,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,34,705,(56),516,539,146.0%,8,644,28.6%,109.5%
460,KINGSWOOD ES,E,KI-5,T,,367,72,68,61,51,52,63,,,,,,,,,208,159,1,37,84,119,2,26,98,0.3%,10.1%,22.9%,32.4%,0.5%,7.1%,26.7%,223,60.8%,54,14.7%,96,26.2%,YES,83.4,Dst,Hgh,Yes,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,28,367,3,379,379,96.1%,0,382,0.0%,96.1%
464,KNIGHTDALE ES,E,KI-5,T,,675,112,118,111,113,112,109,,,,,,,,,336,339,2,15,313,217,1,25,102,0.3%,2.2%,46.4%,32.1%,0.1%,3.7%,15.1%,438,64.9%,78,11.6%,133,19.7%,YES,69.7,NR,,No,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,40,675,(135),655,816,99.1%,8,704,26.1%,95.9%
468,LACY ES,E,KI-5,T,,807,120,136,142,109,139,161,,,,,,,,,410,397,2,50,89,60,0,13,593,0.2%,6.2%,11.0%,7.4%,0.0%,1.6%,73.5%,208,25.8%,31,3.8%,90,11.2%,NO,81.1,Dst,Hgh,No,Central Raleigh,Christine Kushner,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,40,807,23,655,701,111.5%,2,724,6.4%,111.5%
474,LAKE MYRA ES,E,KI-5,Y-R  tr 4,,584,103,101,106,83,104,87,,,,,,,,,298,286,0,13,165,155,2,31,218,0.0%,2.2%,28.3%,26.5%,0.3%,5.3%,37.3%,289,49.5%,53,9.1%,90,15.4%,YES,74.7,Pro,Exp,No,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Wendell,WENDELL,51,584,(87),800,846,76.9%,0,713,0.0%,81.9%
467,LAUREL PARK ES,E,KI-5,Y-R,,945,171,168,161,149,169,127,,,,,,,,,460,485,0,88,55,111,2,49,640,0.0%,9.3%,5.8%,11.7%,0.2%,5.2%,67.7%,124,13.1%,39,4.1%,59,6.2%,NO,88.1,Dst,Hgh,No,Western Wake,Bill Fletcher ,Southwestern Area,Clinton Robinson,Cary,CARY,46,945,25,963,986,93.5%,0,988,0.0%,95.6%
470,LEAD MINE ES,E,KI-5,T,,509,88,94,90,88,73,76,,,,,,,,,253,256,4,12,142,62,0,22,267,0.8%,2.4%,27.9%,12.2%,0.0%,4.3%,52.5%,189,37.1%,26,5.1%,40,7.9%,YES,86.5,Dst,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,35,509,0,540,609,83.6%,1,563,4.1%,90.4%
469,LEESVILLE RD ES,E,KI-5,T,,916,161,155,150,146,144,160,,,,,,,,,442,474,0,65,191,93,0,33,534,0.0%,7.1%,20.9%,10.2%,0.0%,3.6%,58.3%,243,26.5%,42,4.6%,61,6.7%,NO,84.5,Dst,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,35,916,(32),540,655,147.0%,17,899,43.5%,101.9%
476,LINCOLN HEIGHTS ES,E,KI-5,T,,504,87,72,75,78,99,93,,,,,,,,,258,246,0,5,180,145,2,21,151,0.0%,1.0%,35.7%,28.8%,0.4%,4.2%,30.0%,328,65.1%,34,6.8%,76,15.1%,YES,68.0,Pro,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,37,504,(126),586,724,84.3%,11,713,35.5%,70.7%
480,LOCKHART ES,E,KI-5,Y-R,,679,132,105,118,115,113,96,,,,,,,,,371,308,3,12,246,173,0,31,214,0.4%,1.8%,36.2%,25.5%,0.0%,4.6%,31.5%,366,53.9%,58,8.5%,109,16.1%,YES,79.4,Pro,Hgh,Yes,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,37,679,(164),705,797,107.3%,13,840,35.6%,80.8%
488,LYNN RD ES,E,KI-5,T,,557,91,106,91,89,88,92,,,,,,,,,284,273,0,13,233,133,1,33,144,0.0%,2.3%,41.8%,23.9%,0.2%,5.9%,25.9%,340,61.0%,34,6.1%,73,13.1%,YES,66.1,Pro,Hgh,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,40,557,(126),655,770,86.5%,0,529,0.0%,105.3%
494,MIDDLE CREEK ES,E,KI-5,Y-R,,846,131,125,152,149,156,133,,,,,,,,,445,401,1,12,62,117,0,25,629,0.1%,1.4%,7.3%,13.8%,0.0%,3.0%,74.3%,161,19.0%,26,3.1%,54,6.4%,NO,89.2,Dst,Hgh,Yes,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Clinton Robinson,Cary,CARY,37,846,(101),705,843,114.0%,16,972,37.9%,87.0%
496,MILLBROOK ES,E,KI-5,T,International Baccalaureate-PYP,768,135,135,124,122,129,123,,,,,,,,,421,347,0,12,356,232,1,38,129,0.0%,1.6%,46.4%,30.2%,0.1%,4.9%,16.8%,505,65.8%,36,4.7%,134,17.4%,YES,74.0,Pro,Hgh,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,46,768,(23),662,708,112.1%,3,708,9.7%,108.5%
501,MILLS PARK ES,E,KI-5,T,,962,151,165,140,154,172,180,,,,,,,,,478,484,3,301,61,75,2,34,486,0.3%,31.3%,6.3%,7.8%,0.2%,3.5%,50.5%,84,8.7%,22,2.3%,47,4.9%,NO,94.6,HE,Hgh,Yes,Southern Wake,Susan Evans,Western Area,Jacqueline Ellis,Cary,CARY,51,962,88,800,846,103.0%,0,888,0.0%,108.3%
504,MORRISVILLE ES,E,KI-5,Y-R,,815,135,136,134,136,143,131,,,,,,,,,399,416,1,190,57,40,0,51,476,0.1%,23.3%,7.0%,4.9%,0.0%,6.3%,58.4%,52,6.4%,31,3.8%,48,5.9%,NO,94.6,HE,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Western Area,Jacqueline Ellis,Morrisville,MORRISVILLE,35,815,14,659,774,103.4%,5,788,14.6%,103.4%
514,N FOREST PINES ES,E,KI-5,Y-R,,815,133,145,147,118,131,141,,,,,,,,,409,406,1,31,76,130,0,16,561,0.1%,3.8%,9.3%,16.0%,0.0%,2.0%,68.8%,176,21.6%,26,3.2%,59,7.2%,NO,85.0,Dst,Hgh,Yes,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,40,815,14,774,774,103.4%,0,788,0.0%,103.4%
516,N RIDGE ES,E,KI-5,T,,813,139,139,140,129,127,139,,,,,,,,,416,397,0,44,178,160,0,20,411,0.0%,5.4%,21.9%,19.7%,0.0%,2.5%,50.6%,359,44.2%,43,5.3%,123,15.1%,YES,78.9,Pro,Hgh,Yes,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,34,813,(96),517,816,112.9%,13,720,41.5%,112.9%
520,NORTHWOODS ES,E,KI-5,T,,524,92,94,82,83,88,85,,,,,,,,,254,270,1,47,116,120,0,24,216,0.2%,9.0%,22.1%,22.9%,0.0%,4.6%,41.2%,214,40.8%,45,8.6%,75,14.3%,YES,86.3,Dst,Hgh,Yes,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,34,524,(46),517,747,74.8%,3,540,12.8%,97.0%
522,OAK GROVE ES,E,KI-5,Y-R,,782,126,137,133,125,125,136,,,,,,,,,376,406,2,50,52,75,0,25,578,0.3%,6.4%,6.6%,9.6%,0.0%,3.2%,73.9%,92,11.8%,27,3.5%,48,6.1%,NO,88.4,Dst,Hgh,No,Southern Wake,Susan Evans,Southwestern Area,Clinton Robinson,Cary,CARY,35,782,(32),659,774,105.4%,5,742,15.5%,105.4%
524,OLDS ES,E,KI-5,T,,356,63,60,57,60,63,53,,,,,,,,,176,180,1,10,78,28,0,13,226,0.3%,2.8%,21.9%,7.9%,0.0%,3.7%,63.5%,94,26.4%,11,3.1%,15,4.2%,NO,89.5,Dst,Exp,Yes,Central Raleigh,Christine Kushner,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,18,356,111,149,149,136.9%,0,260,0.0%,136.9%
523,OLIVE CHAPEL ES,E,KI-5,Y-R,,969,163,157,146,161,174,168,,,,,,,,,475,494,0,44,46,74,3,35,767,0.0%,4.5%,4.7%,7.6%,0.3%,3.6%,79.2%,69,7.1%,23,2.4%,27,2.8%,NO,92.5,HE,Hgh,Yes,Southern Wake,Susan Evans,Southwestern Area,Clinton Robinson,Apex,APEX,36,969,(20),682,843,117.7%,14,984,32.7%,98.5%
525,PARTNERSHIP ES,E,KI-5,MOD,,312,51,48,52,52,56,53,,,,,,,,,156,156,3,6,96,26,0,17,164,1.0%,1.9%,30.8%,8.3%,0.0%,5.4%,52.6%,81,26.0%,8,2.6%,10,3.2%,NO,74.8,Pro,Exp,No,Central Raleigh,Christine Kushner,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,21,312,0,342,342,91.2%,0,342,0.0%,91.2%
530,PENNY RD ES,E,KI-5,T,,680,111,115,111,113,117,113,,,,,,,,,351,329,3,18,93,76,0,31,459,0.4%,2.6%,13.7%,11.2%,0.0%,4.6%,67.5%,168,24.7%,42,6.2%,53,7.8%,NO,84.9,Dst,Hgh,No,Southern Wake,Susan Evans,Southwestern Area,Clinton Robinson,Cary,CARY,35,680,0,540,609,111.7%,9,747,27.7%,91.0%
531,PLEASANT UNION ES,E,KI-5,Y-R,,606,77,107,111,103,106,102,,,,,,,,,319,287,1,8,58,25,0,23,491,0.2%,1.3%,9.6%,4.1%,0.0%,3.8%,81.0%,55,9.1%,2,0.3%,7,1.2%,NO,84.2,Dst,Exp,No,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Wake County,WAKE COUNTY,35,606,19,659,659,89.4%,0,678,0.0%,89.4%
532,POE ES,E,KI-5,T,Montessori,368,71,69,67,47,58,56,,,,,,,,,200,168,1,7,166,79,0,14,101,0.3%,1.9%,45.1%,21.5%,0.0%,3.8%,27.4%,209,56.8%,46,12.5%,59,16.0%,YES,74.0,Pro,Exp,Yes,East Raleigh,Keith Sutton,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,29,368,41,369,369,89.8%,0,410,0.0%,89.8%
536,POWELL ES,E,KI-5,T,Gifted & Talented,446,72,73,70,68,84,79,,,,,,,,,218,228,4,15,240,47,1,14,125,0.9%,3.4%,53.8%,10.5%,0.2%,3.1%,28.0%,260,58.3%,12,2.7%,22,4.9%,YES,73.2,Pro,Exp,Yes,East Raleigh,Keith Sutton,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,34,446,(4),458,458,98.2%,0,454,0.0%,98.2%
540,RAND RD ES,E,KI-5,Y-R tr 4,,540,81,89,88,80,88,114,,,,,,,,,286,254,4,11,88,77,1,22,337,0.7%,2.0%,16.3%,14.3%,0.2%,4.1%,62.4%,186,34.4%,18,3.3%,30,5.6%,YES,83.5,Dst,Exp,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,35,540,(46),540,678,85.4%,8,678,27.1%,79.6%
542,REEDY CREEK ES,E,KI-5,T,,683,126,135,87,109,111,115,,,,,,,,,331,352,3,47,209,166,1,27,230,0.4%,6.9%,30.6%,24.3%,0.1%,4.0%,33.7%,357,52.3%,38,5.6%,123,18.0%,YES,77.2,Pro,Hgh,Yes,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,38,683,(92),609,770,100.7%,9,724,28.6%,94.3%
543,RICHLAND CREEK ES,E,KI-5,T,,100,17,18,14,22,18,11,,,,,,,,,52,48,0,2,47,13,0,3,35,0.0%,2.0%,47.0%,13.0%,0.0%,3.0%,35.0%,72,72.0%,2,2.0%,10,10.0%,YES,,,,,Northeast Wake,Tom Benton,Northeastern Area,Andre Smith,Wake Forest,WAKE FOREST,46,100,(708),708,708,14.1%,16,220,100.0%,45.5%
302,RIVER BEND ES,E,KI-5,Y-R,,741,129,130,129,116,126,111,,,,,,,,,386,355,6,46,245,268,1,34,141,0.8%,6.2%,33.1%,36.2%,0.1%,4.6%,19.0%,432,58.3%,99,13.4%,196,26.5%,YES,82.6,Dst,Exp,Yes,Central Raleigh,Christine Kushner,Northeastern Area,Andre Smith,Raleigh,RALEIGH,51,741,(121),"1,078","1,124",73.9%,0,957,0.0%,77.4%
544,ROLESVILLE ES,E,KI-5,T,,665,120,101,104,112,106,122,,,,,,,,,346,319,2,21,208,100,1,27,306,0.3%,3.2%,31.3%,15.0%,0.2%,4.1%,46.0%,280,42.1%,27,4.1%,37,5.6%,YES,84.6,Dst,Hgh,Yes,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Rolesville,ROLESVILLE,34,665,0,517,609,109.2%,9,724,28.6%,91.9%
548,ROOT ES,E,KI-5,T,,513,96,95,90,78,83,71,,,,,,,,,249,264,2,4,112,65,0,16,314,0.4%,0.8%,21.8%,12.7%,0.0%,3.1%,61.2%,154,30.0%,23,4.5%,37,7.2%,NO,80.9,Dst,Hgh,Yes,Central Raleigh,Christine Kushner,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,33,513,14,494,494,101.0%,0,508,0.0%,101.0%
550,SALEM ES,E,KI-5,Y-R,,924,137,154,156,151,165,161,,,,,,,,,483,441,1,83,53,162,1,33,591,0.1%,9.0%,5.7%,17.5%,0.1%,3.6%,64.0%,195,21.1%,106,11.5%,130,14.1%,NO,86.4,Dst,Hgh,No,Western Wake,Bill Fletcher ,Southwestern Area,Clinton Robinson,Apex,APEX,37,924,(64),705,843,118.6%,14,963,33.4%,96.0%
554,SANFORD CREEK ES,E,KI-5,Y-R,,719,104,124,119,126,112,134,,,,,,,,,361,358,0,23,131,61,1,36,467,0.0%,3.2%,18.2%,8.5%,0.1%,5.0%,65.0%,185,25.7%,33,4.6%,46,6.4%,NO,80.0,Dst,Exp,Yes,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Rolesville,ROLESVILLE,40,719,(46),774,774,98.8%,0,728,0.0%,98.8%
560,SMITH ES,E,KI-5,T,International Baccalaureate-PYP,624,108,106,118,95,107,90,,,,,,,,,302,322,3,5,227,262,1,20,106,0.5%,0.8%,36.4%,42.0%,0.2%,3.2%,17.0%,479,76.8%,45,7.2%,151,24.2%,YES,70.5,NR,,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,WAKE COUNTY,51,624,(87),777,800,87.5%,0,690,0.0%,90.4%
564,STOUGH ES,E,KI-5,T,,574,113,112,112,70,101,66,,,,,,,,,296,278,2,30,215,148,0,26,153,0.3%,5.2%,37.5%,25.8%,0.0%,4.5%,26.7%,317,55.2%,40,7.0%,111,19.3%,YES,72.5,Pro,Hgh,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,29,574,(46),402,540,116.2%,10,586,39.2%,98.0%
568,SWIFT CREEK ES,E,KI-5,T,,566,105,94,88,93,105,81,,,,,,,,,287,279,0,22,144,80,0,24,296,0.0%,3.9%,25.4%,14.1%,0.0%,4.2%,52.3%,237,41.9%,70,12.4%,78,13.8%,YES,87.3,Dst,Hgh,Yes,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Clinton Robinson,Wake County,WAKE COUNTY,31,566,37,448,494,106.6%,2,531,8.7%,106.6%
569,SYCAMORE CREEK ES,E,KI-5,Y-R,,"1,073",183,199,204,181,159,147,,,,,,,,,537,536,1,36,59,55,0,49,873,0.1%,3.4%,5.5%,5.1%,0.0%,4.6%,81.4%,48,4.5%,4,0.4%,7,0.7%,NO,92.9,HE,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,51,"1,073",49,"1,078","1,078",95.2%,0,"1,127",0.0%,95.2%
570,TIMBER DR ES,E,KI-5,Y-R tr 4,,629,104,108,95,103,107,112,,,,,,,,,331,298,1,11,198,75,0,35,309,0.2%,1.7%,31.5%,11.9%,0.0%,5.6%,49.1%,273,43.4%,33,5.3%,53,8.4%,YES,81.3,Dst,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,36,629,(101),563,701,104.8%,9,669,30.9%,94.0%
571,TURNER CREEK ES,E,KI-5,Y-R,,807,100,133,144,130,162,138,,,,,,,,,411,396,3,133,58,64,1,34,514,0.4%,16.5%,7.2%,7.9%,0.1%,4.2%,63.7%,104,12.9%,21,2.6%,42,5.2%,NO,87.4,Dst,Exp,No,Southern Wake,Susan Evans,Western Area,Jacqueline Ellis,Cary,CARY,39,807,(66),751,843,103.9%,8,869,21.2%,92.9%
572,UNDERWOOD ES,E,KI-5,T,Gifted & Talented,545,96,90,86,88,89,96,,,,,,,,,254,291,0,20,71,65,0,21,368,0.0%,3.7%,13.0%,11.9%,0.0%,3.9%,67.5%,120,22.0%,24,4.4%,38,7.0%,NO,86.2,Dst,Hgh,Yes,Central Raleigh,Christine Kushner,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,33,545,37,435,435,115.5%,0,472,0.0%,115.5%
576,VANCE ES,E,KI-5,Y-R,,480,84,78,78,72,84,84,,,,,,,,,246,234,2,6,68,118,0,24,262,0.4%,1.3%,14.2%,24.6%,0.0%,5.0%,54.6%,182,37.9%,52,10.8%,81,16.9%,YES,75.5,Pro,Exp,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Wake County,WAKE COUNTY,28,480,(73),498,636,85.3%,6,563,24.5%,85.3%
580,VANDORA SPRINGS ES,E,KI-5,T,,562,97,91,95,91,95,93,,,,,,,,,274,288,2,4,180,147,1,23,205,0.4%,0.7%,32.0%,26.2%,0.2%,4.1%,36.5%,309,55.0%,43,7.7%,87,15.5%,YES,81.9,Dst,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,34,562,(43),517,609,99.3%,5,589,19.5%,95.4%
606,W LAKE ES,E,KI-5,Y-R,,889,156,142,134,130,166,161,,,,,,,,,450,439,0,17,63,147,0,39,623,0.0%,1.9%,7.1%,16.5%,0.0%,4.4%,70.1%,169,19.0%,55,6.2%,68,7.7%,NO,81.5,Dst,Hgh,Yes,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Clinton Robinson,Cary,CARY,35,889,(32),659,751,123.6%,13,926,32.3%,96.0%
584,WAKE FOREST ES,E,KI-5,T,,575,90,90,101,95,99,100,,,,,,,,,297,278,1,17,117,52,2,37,349,0.2%,3.0%,20.3%,9.0%,0.3%,6.4%,60.7%,213,37.0%,27,4.7%,38,6.6%,YES,81.1,Dst,Exp,Yes,Northeast Wake,Tom Benton,Northeastern Area,Andre Smith,Wake Forest,WAKE FOREST,40,575,(32),655,655,92.3%,0,623,0.0%,92.3%
593,WAKEFIELD ES,E,KI-5,Y-R,,684,99,122,117,104,126,116,,,,,,,,,354,330,3,45,127,133,2,25,349,0.4%,6.6%,18.6%,19.4%,0.3%,3.7%,51.0%,213,31.1%,28,4.1%,88,12.9%,YES,78.1,Pro,Hgh,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,36,684,(55),682,843,86.8%,11,880,28.8%,77.7%
597,WAKELON ES,E,KI-5,T,,530,82,107,80,79,96,86,,,,,,,,,289,241,3,5,215,146,0,17,144,0.6%,0.9%,40.6%,27.5%,0.0%,3.2%,27.2%,412,77.7%,50,9.4%,76,14.3%,YES,73.2,Pro,Exp,Yes,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Zebulon,ZEBULON,46,530,(87),685,731,82.3%,0,598,0.0%,88.6%
599,WALNUT CREEK ES,E,KI-5,T,,804,133,144,145,128,119,135,,,,,,,,,394,410,2,3,520,251,0,12,16,0.2%,0.4%,64.7%,31.2%,0.0%,1.5%,2.0%,622,77.4%,88,10.9%,158,19.7%,YES,60.5,Pro,Hgh,No,East Raleigh,Keith Sutton,Southwestern Area,Clinton Robinson,Raleigh,RALEIGH,51,804,(75),800,846,104.3%,2,771,6.0%,104.3%
596,WASHINGTON ES,E,KI-5,T,Gifted & Talented,601,100,97,93,96,106,109,,,,,,,,,322,279,4,186,111,91,1,19,189,0.7%,30.9%,18.5%,15.1%,0.2%,3.2%,31.4%,172,28.6%,37,6.2%,72,12.0%,NO,87.2,Dst,Hgh,No,South Central Raleigh,Dr. Jim Martin,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,40,601,(34),569,569,112.3%,0,535,0.0%,112.3%
598,WEATHERSTONE ES,E,KI-5,T,,673,126,112,102,93,128,112,,,,,,,,,356,317,4,125,97,126,1,31,289,0.6%,18.6%,14.4%,18.7%,0.1%,4.6%,42.9%,201,29.9%,47,7.0%,120,17.8%,YES,89.0,Dst,Hgh,Yes,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,36,673,(9),563,747,91.2%,13,853,35.1%,78.9%
600,WENDELL ES,E,KI-5,T,Creative Arts & Science,478,92,91,56,70,83,86,,,,,,,,,244,234,6,8,149,107,0,35,173,1.3%,1.7%,31.2%,22.4%,0.0%,7.3%,36.2%,286,59.8%,49,10.3%,53,11.1%,YES,72.8,Pro,Hgh,No,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Wendell,WENDELL,35,478,(9),469,515,94.5%,2,506,9.1%,94.5%
616,WILBURN ES,E,KI-5,Y-R,,741,161,112,120,102,121,125,,,,,,,,,364,377,4,36,341,200,1,35,124,0.5%,4.9%,46.0%,27.0%,0.1%,4.7%,16.7%,469,63.3%,76,10.3%,153,20.6%,YES,66.4,Pro,Hgh,No,East Raleigh,Keith Sutton,Northeastern Area,Andre Smith,Raleigh,RALEIGH,51,741,(156),"1,078","1,147",74.8%,0,922,0.0%,80.4%
618,WILDWOOD FOREST ES,E,KI-5,T,,741,115,122,118,123,134,129,,,,,,,,,401,340,3,55,288,143,1,37,214,0.4%,7.4%,38.9%,19.3%,0.1%,5.0%,28.9%,336,45.3%,43,5.8%,102,13.8%,YES,80.7,Dst,Hgh,Yes,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,37,741,(124),586,770,114.7%,13,761,39.3%,97.4%
620,WILEY ES,E,KI-5,T,International Studies,470,78,69,72,82,90,79,,,,,,,,,216,254,0,25,107,38,0,38,262,0.0%,5.3%,22.8%,8.1%,0.0%,8.1%,55.7%,115,24.5%,10,2.1%,19,4.0%,NO,82.8,Dst,Hgh,No,Central Raleigh,Christine Kushner,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,30,470,(25),417,417,119.9%,0,392,0.0%,119.9%
624,WILLOW SPRINGS ES,E,KI-5,Y-R,,916,156,169,156,143,152,140,,,,,,,,,476,440,1,8,52,139,1,48,667,0.1%,0.9%,5.7%,15.2%,0.1%,5.2%,72.8%,274,29.9%,28,3.1%,51,5.6%,NO,92.8,HE,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Wake County,WAKE COUNTY,32,916,5,590,774,117.6%,16,963,38.2%,95.1%
626,YATES MILL ES,E,KI-5,T,,544,95,91,96,82,91,89,,,,,,,,,274,270,2,15,85,175,0,11,256,0.4%,2.8%,15.6%,32.2%,0.0%,2.0%,47.1%,286,52.6%,56,10.3%,116,21.3%,YES,84.9,Dst,Hgh,Yes,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Clinton Robinson,Wake County,WAKE COUNTY,37,544,(78),586,586,107.1%,0,508,0.0%,107.1%
628,YORK ES,E,KI-5,T,,502,88,91,90,75,79,79,,,,,,,,,261,241,1,9,162,109,0,21,200,0.2%,1.8%,32.3%,21.7%,0.0%,4.2%,39.8%,260,51.8%,34,6.8%,49,9.8%,YES,79.7,Pro,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,33,502,(32),494,586,90.6%,4,554,16.6%,90.6%
632,ZEBULON ES,E,KI-5,T,Gifted & Talented,531,85,89,88,89,105,75,,,,,,,,,253,278,7,5,180,119,0,23,197,1.3%,0.9%,33.9%,22.4%,0.0%,4.3%,37.1%,330,62.1%,41,7.7%,77,14.5%,YES,81.2,Dst,Hgh,Yes,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Zebulon,ZEBULON,41,531,(50),592,684,83.8%,4,634,14.5%,83.8%
442,HILBURN DR ACADEMY,EM,KI-6,T,,548,73,73,66,70,80,81,105,,,,,,,,280,268,2,39,106,87,0,21,293,0.4%,7.1%,19.3%,15.9%,0.0%,3.8%,53.5%,145,26.5%,24,4.4%,49,8.9%,NO,83.2,Dst,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,34,548,(104),528,736,86.7%,8,528,,103.8%
312,APEX MS,M,6-8,T,,"1,094",,,,,,,375,365,354,,,,,,556,538,4,35,115,119,0,37,784,0.4%,3.2%,10.5%,10.9%,0.0%,3.4%,71.7%,205,18.7%,9,0.8%,31,2.8%,NO,91.8,HE,Exp,Yes,Southern Wake,Susan Evans,Southwestern Area,Clinton Robinson,Apex,APEX,63,"1,094",68,"1,059","1,059",97.1%,0,"1,127",0.0%,97.1%
