Code,School Name, Level,Grade Span,Calendar,Magnet Programs,School Membership 2012-13,GRD KI,GRD 1,GRD 2,GRD 3,GRD 4,GRD 5,GRD 6,GRD 7,GRD 8,GRD 9,GRD 10,GRD 11,GRD 12,GRD 13,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2011-12,NC ABC Results Performance Recognition 2011-12,"NC ABC Results Growth Recognition
2011-12",Met All AMO Targets,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Long-Range School Campus Capacity [LRSCC],LRSCC Percent Crowding (inc. Prog. Adjustment) ,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,ASCC Percent Crowding 
342,BRIER CREEK ES,E,KI-5,Y-R,,775,124,160,135,123,118,115,,,,,,,,,400,375,2,65,211,71,0,42,384,0.3%,8.4%,27.2%,9.2%,0.0%,5.4%,49.5%,152,19.6%,35,4.5%,53,6.8%,NO,81.2,Dst,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,38,775,(32),728,866,92.9%,6,834,16.5%,92.9%
344,BROOKS ES,E,KI-5,T,Museums,582,90,105,109,91,100,87,,,,,,,,,299,283,1,9,50,79,0,17,426,0.2%,1.5%,8.6%,13.6%,0.0%,2.9%,73.2%,141,24.2%,43,7.4%,62,10.7%,NO,83.2,Dst,Hgh,Yes,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,33,582,37,477,500,108.4%,1,537,4.3%,108.4%
352,BUGG ES,E,KI-5,T,Creative Arts & Science,611,101,95,98,93,111,113,,,,,,,,,298,313,2,5,484,53,0,21,46,0.3%,0.8%,79.2%,8.7%,0.0%,3.4%,7.5%,385,63.0%,13,2.1%,32,5.2%,YES,70.6,Pro,Hgh,No,East Raleigh,Keith Sutton,Southwestern Area,Clinton Robinson,Raleigh,RALEIGH,41,611,(55),607,607,110.7%,0,552,0.0%,110.7%
358,CARPENTER ES,E,KI-5,Y-R,,720,122,131,127,100,122,118,,,,,,,,,363,357,1,128,87,111,0,23,370,0.1%,17.8%,12.1%,15.4%,0.0%,3.2%,51.4%,152,21.1%,33,4.6%,95,13.2%,NO,87.0,Dst,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Western Area,Jacqueline Ellis,Cary,CARY,38,720,0,728,820,87.8%,2,774,5.9%,93.0%
362,CARVER ES,E,KI-5,MOD,,448,83,63,65,62,94,81,,,,,,,,,234,214,1,2,115,113,0,22,195,0.2%,0.4%,25.7%,25.2%,0.0%,4.9%,43.5%,243,54.2%,34,7.6%,48,10.7%,YES,80.1,Dst,Hgh,Yes,Northeast Wake,Tom Benton,Eastern Area,Danny Barnes,Wendell,WAKE COUNTY,39,448,(129),632,747,72.5%,5,618,18.6%,72.5%
364,CARY ES,E,KI-5,T,,551,99,95,91,92,86,88,,,,,,,,,299,252,3,17,88,139,1,29,274,0.5%,3.1%,16.0%,25.2%,0.2%,5.3%,49.7%,230,41.7%,53,9.6%,81,14.7%,YES,88.3,Dst,Hgh,Yes,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,36,551,(34),563,563,104.2%,0,529,0.0%,104.2%
369,CEDAR FORK ES,E,KI-5,T,,767,121,129,140,126,132,119,,,,,,,,,372,395,2,375,75,41,2,32,240,0.3%,48.9%,9.8%,5.3%,0.3%,4.2%,31.3%,73,9.5%,21,2.7%,65,8.5%,NO,94.3,HE,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Western Area,Jacqueline Ellis,Morrisville,MORRISVILLE,38,767,(20),609,724,108.9%,6,727,19.0%,105.5%
376,COMBS ES,E,KI-5,T,Leadership,872,155,161,140,148,138,130,,,,,,,,,450,422,1,88,176,128,0,45,434,0.1%,10.1%,20.2%,14.7%,0.0%,5.2%,49.8%,271,31.1%,46,5.3%,98,11.2%,NO,81.3,Dst,Hgh,No,South Central Raleigh,Dr. Jim Martin,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,34,872,74,438,622,125.3%,13,811,36.9%,107.5%
380,CONN ES,E,KI-5,T,Active Learning and Technology,671,117,120,114,99,109,112,,,,,,,,,353,318,4,9,356,49,2,32,219,0.6%,1.3%,53.1%,7.3%,0.3%,4.8%,32.6%,318,47.4%,15,2.2%,27,4.0%,YES,75.9,Pro,Hgh,Yes,East Raleigh,Keith Sutton,Central Area,Rose Anne Gonzalez,Raleigh,RALEIGH,36,671,(23),536,582,120.0%,4,605,15.2%,110.9%
384,CREECH RD ES,E,KI-5,T,,614,118,108,110,99,78,101,,,,,,,,,313,301,4,4,323,203,0,19,61,0.7%,0.7%,52.6%,33.1%,0.0%,3.1%,9.9%,507,82.6%,37,6.0%,116,18.9%,YES,58.1,Pri,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,39,614,(89),632,747,93.3%,5,658,17.5%,93.3%
390,DAVIS DR ES,E,KI-5,T,,978,154,158,163,158,174,171,,,,,,,,,515,463,2,325,19,54,3,32,543,0.2%,33.2%,1.9%,5.5%,0.3%,3.3%,55.5%,46,4.7%,38,3.9%,46,4.7%,NO,97.7,HE,Hgh,Yes,Western Wake,Bill Fletcher ,Western Area,Jacqueline Ellis,Cary,CARY,39,978,(55),632,632,169.5%,13,876,34.1%,111.6%
393,DILLARD DR ES,E,KI-5,T,,689,122,113,123,109,110,112,,,,,,,,,355,334,1,54,211,180,0,27,216,0.1%,7.8%,30.6%,26.1%,0.0%,3.9%,31.3%,415,60.2%,51,7.4%,147,21.3%,YES,80.9,Dst,Hgh,Yes,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Clinton Robinson,Raleigh,RALEIGH,36,689,(78),563,747,103.0%,10,715,32.2%,96.4%
