Code,School Name,Level,Grade Span,Calendar,Magnet Program,School Membership 2011-12,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,13th GRADE,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2010-11,NC ABC Results Performance Recognition 2010-11,"NC ABC Results Growth Recognition
2010-11",AYP Status 2010-11,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,Percent Crowding Including Existing Temporary Classrooms
342,Brier Creek Elementary ,E,KI-5,Y-R,N/A,876,190,166,144,134,126,116,,,,,,,,,437,439,,72,220,100,,47,437,0.0%,8.2%,25.1%,11.4%,0.0%,5.4%,49.9%,159,18.2%,30,3.4%,55,6.3%,NO,80.9%,Dst,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,38,876,5,728,6,871,15.8%,100.6%
344,Brooks Elementary,E,KI-5,T,Museums,601,114,117,95,106,90,79,,,,,,,,,310,291,,10,60,102,,15,414,0.0%,1.7%,10.0%,17.0%,0.0%,2.5%,68.9%,165,27.5%,47,7.8%,67,11.1%,NO,80.4%,Dst,Hgh,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,33,601,51,477,1,551,4.2%,109.1%
352,Bugg Elementary,E,KI-5,T,Creative Arts & Science,574,95,104,87,92,97,99,,,,,,,,,279,295,4,11,439,47,,26,47,0.7%,1.9%,76.5%,8.2%,0.0%,4.5%,8.2%,346,60.3%,20,3.5%,32,5.6%,YES,63.1%,Pro,Exp,No,East Raleigh,Keith Sutton,Southwestern Area,Julye Mizelle,Raleigh,RALEIGH,41,574,-55,607,0,552,0.0%,104.0%
358,Carpenter Elementary,E,KI-5,Y-R,N/A,675,122,119,114,130,108,82,,,,,,,,,356,319,,104,67,125,,28,351,0.0%,15.4%,9.9%,18.5%,0.0%,4.1%,52.0%,150,22.2%,51,7.6%,80,11.9%,NO,85.7%,Dst,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Western Area,Jacqueline Ellis,Cary,CARY,38,675,0,728,2,774,5.9%,87.2%
362,Carver Elementary,E,KI-5,MOD,N/A,418,62,65,62,88,85,56,,,,,,,,,212,206,,4,101,110,1,22,180,0.0%,1.0%,24.2%,26.3%,0.2%,5.3%,43.1%,240,57.4%,13,3.1%,57,13.6%,YES,74.3%,Pro,Hgh,Yes,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Wendell,WAKE COUNTY,39,418,-69,632,5,678,17.0%,61.7%
364,Cary Elementary,E,KI-5,T,N/A,512,96,75,74,85,90,92,,,,,,,,,276,236,4,12,70,115,1,23,287,0.8%,2.3%,13.7%,22.5%,0.2%,4.5%,56.1%,199,38.9%,61,11.9%,68,13.3%,YES,88.7%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,36,512,-34,563,0,529,0.0%,96.8%
369,Cedar Fork Elementary,E,KI-5,T,N/A,845,148,154,141,147,131,124,,,,,,,,,415,430,3,392,100,53,1,36,260,0.4%,46.4%,11.8%,6.3%,0.1%,4.3%,30.8%,79,9.3%,48,5.7%,111,13.1%,NO,94.8%,HE,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Western Area,Jacqueline Ellis,Morrisville,MORRISVILLE,38,845,-20,609,6,727,19.0%,116.2%
376,Combs Elementary,E,KI-5,T,Leadership,879,162,145,174,135,144,119,,,,,,,,,459,420,1,90,176,120,,40,452,0.1%,10.2%,20.0%,13.7%,0.0%,4.6%,51.4%,272,30.9%,43,4.9%,91,10.4%,NO,81.7%,Dst,Exp,No,South Central Raleigh,Dr. Jim Martin,Central Area,Kevin Hobbs,Raleigh,RALEIGH,34,879,102,438,13,839,35.6%,104.8%
380,Conn Elementary,E,KI-5,T,Active Learning and Technology,622,111,110,92,97,101,111,,,,,,,,,337,285,3,11,308,43,2,33,222,0.5%,1.8%,49.5%,6.9%,0.3%,5.3%,35.7%,267,42.9%,14,2.3%,20,3.2%,YES,69.6%,Pro,Hgh,No,East Raleigh,Keith Sutton,Central Area,Kevin Hobbs,Raleigh,RALEIGH,36,622,-9,536,4,619,14.9%,100.5%
384,Creech Road Elementary,E,KI-5,T,Renaissance School,541,82,81,80,81,113,104,,,,,,,,,266,275,,2,248,186,1,26,78,0.0%,0.4%,45.8%,34.4%,0.2%,4.8%,14.4%,434,80.2%,64,11.8%,97,17.9%,YES,57.1%,Pri,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,39,541,-89,632,5,658,17.5%,82.2%
390,Davis Drive Elementary,E,KI-5,T,N/A,847,121,132,134,153,140,167,,,,,,,,,433,414,4,284,26,38,2,35,458,0.5%,33.5%,3.1%,4.5%,0.2%,4.1%,54.1%,56,6.6%,22,2.6%,53,6.3%,NO,93%,HE,Hgh,Yes,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,39,847,-55,632,13,876,34.1%,96.7%
393,Dillard Drive Elementary,E,KI-5,T,N/A,724,113,148,98,120,106,139,,,,,,,,,369,355,,56,213,147,,38,270,0.0%,7.7%,29.4%,20.3%,0.0%,5.2%,37.3%,386,53.3%,41,5.7%,109,15.1%,YES,85%,Dst,Hgh,No,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Julye Mizelle,Raleigh,RALEIGH,36,724,-78,563,10,715,32.2%,101.3%
396,Douglas Elementary,E,KI-5,T,Creative Arts & Science,699,144,120,112,118,104,101,,,,,,,,,359,340,1,20,135,149,,28,366,0.1%,2.9%,19.3%,21.3%,0.0%,4.0%,52.4%,257,36.8%,56,8.0%,77,11.0%,YES,76.8%,Pro,Hgh,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,32,699,0,400,10,630,36.5%,111.0%
398,Durant Road Elementary,E,KI-5,Y-R,N/A,"1,030",202,177,174,157,159,161,,,,,,,,,512,518,8,21,206,188,,52,555,0.8%,2.0%,20.0%,18.3%,0.0%,5.0%,53.9%,381,37.0%,93,9.0%,112,10.9%,YES,77.5%,Pro,Hgh,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,35,"1,030",-133,659,18,940,44.0%,109.6%
403,East Garner Elementary,E,KI-5,Y-R,N/A,577,95,98,78,99,91,116,,,,,,,,,286,291,10,4,274,175,2,29,83,1.7%,0.7%,47.5%,30.3%,0.3%,5.0%,14.4%,371,64.3%,53,9.2%,101,17.5%,YES,73.8%,Pro,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,46,577,-114,963,0,849,0.0%,68.0%
414,Farmington Woods Elementary,E,KI-5,T,International Baccalaureate PYP ,781,118,142,143,125,127,126,,,,,,,,,398,383,1,100,108,153,,44,375,0.1%,12.8%,13.8%,19.6%,0.0%,5.6%,48.0%,231,29.6%,43,5.5%,89,11.4%,NO,83.9%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,37,781,77,455,13,831,36.0%,94.0%
417,Forest Pines Drive Elementary,E,KI-5,T,N/A,644,92,85,122,105,120,120,,,,,,,,,329,315,4,31,133,83,,33,360,0.6%,4.8%,20.7%,12.9%,0.0%,5.1%,55.9%,188,29.2%,17,2.6%,39,6.1%,NO,77.6%,Pro,Exp,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,40,644,28,655,0,683,0.0%,94.3%
413,Forestville Road Elementary,E,KI-5,T,N/A,641,112,114,106,103,94,112,,,,,,,,,313,328,,7,255,172,1,38,168,0.0%,1.1%,39.8%,26.8%,0.2%,5.9%,26.2%,370,57.7%,42,6.6%,91,14.2%,YES,74.4%,Pro,Exp,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,40,641,-170,655,6,623,22.2%,102.9%
415,Fox Road Elementary,E,KI-5,T,N/A,788,119,143,117,136,136,137,,,,,,,,,404,384,2,37,391,251,1,25,81,0.3%,4.7%,49.6%,31.9%,0.1%,3.2%,10.3%,591,75.0%,50,6.4%,168,21.3%,YES,68.9%,Pro,Hgh,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,35,788,-172,540,23,897,59.0%,87.8%
416,Fuller Elementary,E,KI-5,T,Gifted & Talented/AG Basics,544,83,82,83,99,97,100,,,,,,,,,273,271,5,238,153,67,,11,70,0.9%,43.8%,28.1%,12.3%,0.0%,2.0%,12.9%,181,33.3%,23,4.2%,53,9.7%,NO,78.7%,Pro,Hgh,No,East Raleigh,Keith Sutton,Southwestern Area,Julye Mizelle,Raleigh,RALEIGH,31,544,-9,389,8,564,32.6%,96.5%
420,Fuquay-Varina Elementary,E,KI-5,T,N/A,728,116,114,110,118,130,140,,,,,,,,,372,356,,9,138,128,,32,421,0.0%,1.2%,19.0%,17.6%,0.0%,4.4%,57.8%,293,40.2%,42,5.8%,48,6.6%,YES,80.9%,Dst,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,40,728,-57,655,13,897,33.3%,81.2%
440,Green Elementary,E,KI-5,Y-R,N/A,579,123,100,86,101,79,90,,,,,,,,,284,295,2,21,211,139,9,18,179,0.3%,3.6%,36.4%,24.0%,1.6%,3.1%,30.9%,341,58.9%,49,8.5%,92,15.9%,YES,71.1%,Pro,Hgh,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,33,579,-15,613,4,690,13.3%,83.9%
439,Green Hope Elementary,E,KI-5,T,N/A,879,174,119,110,159,163,154,,,,,,,,,446,433,,279,93,93,2,29,383,0.0%,31.7%,10.6%,10.6%,0.2%,3.3%,43.6%,135,15.4%,32,3.6%,73,8.3%,NO,86%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,38,879,31,609,9,847,24.4%,103.8%
451,Harris Creek Elementary,E,KI-5,Y-R,N/A,846,162,163,128,125,134,134,,,,,,,,,427,419,1,19,275,156,,46,349,0.1%,2.2%,32.5%,18.4%,0.0%,5.4%,41.3%,287,33.9%,39,4.6%,90,10.6%,YES,80%,Dst,Hgh,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Raleigh,RALEIGH,48,846,-64,"1,009",4,"1,037",8.9%,81.6%
