Code,School Name,Level,Grade Span,Calendar,Magnet Program,School Membership 2011-12,KI GRADE,1st GRADE,2nd GRADE,3rd GRADE,4th GRADE,5th GRADE,6th GRADE,7th GRADE,8th GRADE,9th GRADE,10th GRADE,11th GRADE,12th GRADE,13th GRADE,MALE,FEMALE,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Two or More Races,White,% American Indian and Alaska Native,% Asian,% Black or African American,% Hispanic or Latino,% Native Hawaiian and Other Pacific Islander,% Two or More Races,% White,F&R,Percent F&R,ESL,Percent ESL,LEP,Percent LEP,TITLE 1 PROGRAM,NC ABC Results Performance Composite % 2010-11,NC ABC Results Performance Recognition 2010-11,"NC ABC Results Growth Recognition
2010-11",AYP Status 2010-11,School Board District,School Board Member,Area Superintendent District,Area Superintendent,School Location in Municipal Extra Teritorial Jurisdiction,School Location within Municipal Corporate Limit ,Number Permanent Learning Spaces,20th Day Actual Membership,Special Needs Program Adjustment,Existing School Building Capacity,Existing Temporary Classrooms,Annual School Campus Capacity [ASCC],Percent in Temporary Classrooms,Percent Crowding Including Existing Temporary Classrooms
453,Jones Dairy Elementary,E,KI-5,Y-R,N/A,838,123,145,149,137,147,137,,,,,,,,,430,408,2,23,108,53,,31,621,0.2%,2.7%,12.9%,6.3%,0.0%,3.7%,74.1%,164,19.6%,10,1.2%,13,1.6%,NO,86.7%,Dst,Exp,No,Northeast Wake,Chris Malone,Northeastern Area,Andre Smith,Wake County,WAKE COUNTY,36,838,-27,682,5,816,14.1%,102.7%
456,Joyner Elementary,E,KI-5,T,Center for Spanish Language/IB PYP,691,134,116,122,105,104,110,,,,,,,,,351,340,5,17,134,122,2,22,389,0.7%,2.5%,19.4%,17.7%,0.3%,3.2%,56.3%,199,28.8%,27,3.9%,53,7.7%,NO,80.5%,Dst,Exp,No,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,34,691,-56,516,8,644,28.6%,107.3%
460,Kingswood Elementary ,E,KI-5,T,N/A,342,60,58,55,47,59,63,,,,,,,,,197,145,3,27,84,94,,31,103,0.9%,7.9%,24.6%,27.5%,0.0%,9.1%,30.1%,170,49.7%,36,10.5%,54,15.8%,YES,84%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,28,342,3,379,0,382,0.0%,89.5%
464,Knightdale Elementary,E,KI-5,T,N/A,699,109,111,119,125,120,115,,,,,,,,,359,340,1,12,310,211,1,30,134,0.1%,1.7%,44.3%,30.2%,0.1%,4.3%,19.2%,437,62.5%,89,12.7%,128,18.3%,YES,69.3%,Pro,Hgh,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,40,699,-121,655,8,718,25.6%,97.4%
468,Lacy Elementary,E,KI-5,T,N/A,866,154,157,102,154,168,131,,,,,,,,,431,435,2,65,110,75,,14,600,0.2%,7.5%,12.7%,8.7%,0.0%,1.6%,69.3%,263,30.4%,97,11.2%,120,13.9%,NO,80.4%,Dst,Hgh,No,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,40,866,9,655,2,710,6.5%,122.0%
474,Lake Myra Elementary,E,KI-5,Y-R,N/A,581,99,96,92,108,85,101,,,,,,,,,314,267,1,12,186,157,,33,192,0.2%,2.1%,32.0%,27.0%,0.0%,5.7%,33.0%,261,44.9%,46,7.9%,77,13.3%,YES,72%,NR,Not Met,Yes,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Wendell,WENDELL,51,581,-18,800,0,782,0.0%,74.3%
467,Laurel Park Elementary,E,KI-5,Y-R,N/A,938,171,156,156,154,144,157,,,,,,,,,467,471,1,97,65,123,2,46,604,0.1%,10.3%,6.9%,13.1%,0.2%,4.9%,64.4%,153,16.3%,31,3.3%,64,6.8%,NO,89.9%,Dst,Hgh,No,Western Wake,Debra Goldman,Southwestern Area,Julye Mizelle,Cary,CARY,46,938,25,963,0,988,0.0%,94.9%
470,Lead Mine Elementary,E,KI-5,T,N/A,521,88,107,94,80,77,75,,,,,,,,,274,247,2,12,157,77,,22,251,0.4%,2.3%,30.1%,14.8%,0.0%,4.2%,48.2%,216,41.5%,27,5.2%,45,8.6%,YES,86.7%,Dst,Hgh,Yes,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,35,521,-14,540,1,549,4.2%,94.9%
469,Leesville Road Elementary,E,KI-5,T,N/A,873,133,140,140,140,171,149,,,,,,,,,419,454,3,58,218,92,,27,475,0.3%,6.6%,25.0%,10.5%,0.0%,3.1%,54.4%,264,30.2%,44,5.0%,59,6.8%,NO,81.7%,Dst,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,35,873,28,432,17,851,45.9%,102.6%
476,Lincoln Heights Elementary,E,KI-5,T,N/A,474,60,70,76,83,94,91,,,,,,,,,237,237,2,7,147,128,,24,166,0.4%,1.5%,31.0%,27.0%,0.0%,5.1%,35.0%,262,55.3%,38,8.0%,57,12.0%,YES,67.7%,Pro,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Fuquay-Varina,FUQUAY-VARINA,37,474,-57,586,11,782,32.4%,60.6%
480,Lockhart Elementary,E,KI-5,Y-R,N/A,648,94,123,109,101,102,119,,,,,,,,,360,288,2,3,235,177,,24,207,0.3%,0.5%,36.3%,27.3%,0.0%,3.7%,31.9%,367,56.6%,75,11.6%,106,16.4%,YES,80%,Dst,Hgh,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Knightdale,KNIGHTDALE,37,648,-118,705,13,886,33.7%,73.1%
488,Lynn Road Elementary,E,KI-5,T,N/A,604,109,89,99,104,104,99,,,,,,,,,312,292,,15,249,142,,30,168,0.0%,2.5%,41.2%,23.5%,0.0%,5.0%,27.8%,370,61.3%,49,8.1%,68,11.3%,YES,68.3%,Pro,Hgh,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,40,604,-112,655,0,543,0.0%,111.2%
494,Middle Creek Elementary,E,KI-5,Y-R,N/A,895,119,156,160,163,136,161,,,,,,,,,457,438,2,20,82,126,,33,632,0.2%,2.2%,9.2%,14.1%,0.0%,3.7%,70.6%,179,20.0%,40,4.5%,67,7.5%,NO,84.2%,Dst,Hgh,No,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Julye Mizelle,Cary,CARY,37,895,-41,756,16,"1,083",34.0%,82.6%
496,Millbrook Elementary,E,KI-5,T,International Baccalaureate PYP ,823,168,116,148,140,138,113,,,,,,,,,447,376,,18,392,228,2,41,142,0.0%,2.2%,47.6%,27.7%,0.2%,5.0%,17.3%,532,64.6%,22,2.7%,128,15.6%,YES,64.2%,Pro,Exp,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,46,823,0,662,3,731,9.4%,112.6%
501,Mills Park Elementary,E,KI-5,T,N/A,993,172,136,150,181,190,164,,,,,,,,,487,506,3,282,76,81,1,48,502,0.3%,28.4%,7.7%,8.2%,0.1%,4.8%,50.6%,106,10.7%,21,2.1%,44,4.4%,NO,93.5%,Exc,Hgh,No,Southern Wake,Susan Evans,Western Area,Jacqueline Ellis,Cary,CARY,51,993,88,800,0,888,0.0%,111.8%
504,Morrisville Elementary,E,KI-5,Y-R,N/A,790,135,138,126,135,131,125,,,,,,,,,383,407,1,157,63,41,,47,481,0.1%,19.9%,8.0%,5.2%,0.0%,5.9%,60.9%,67,8.5%,24,3.0%,39,4.9%,NO,94.4%,Exc,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Western Area,Jacqueline Ellis,Morrisville,MORRISVILLE,35,790,28,659,5,802,14.3%,98.5%
514,North Forest Pines Elementary,E,KI-5,Y-R,N/A,894,170,170,132,133,150,139,,,,,,,,,462,432,1,32,108,147,1,23,582,0.1%,3.6%,12.1%,16.4%,0.1%,2.6%,65.1%,242,27.1%,60,6.7%,86,9.6%,NO,81.2%,Dst,Hgh,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,40,894,28,774,0,802,0.0%,111.5%
516,North Ridge Elementary,E,KI-5,T,N/A,735,121,117,126,125,122,124,,,,,,,,,368,367,,34,136,164,,22,379,0.0%,4.6%,18.5%,22.3%,0.0%,3.0%,51.6%,309,42.0%,39,5.3%,108,14.7%,YES,71.3%,Pro,Exp,No,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,34,735,-96,517,13,720,41.5%,102.1%
520,Northwoods Elementary,E,KI-5,T,N/A,545,100,84,96,88,86,91,,,,,,,,,277,268,2,61,112,109,,34,227,0.4%,11.2%,20.6%,20.0%,0.0%,6.2%,41.7%,207,38.0%,33,6.1%,38,7.0%,YES,81.6%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,34,545,-46,517,3,540,12.8%,100.9%
522,Oak Grove Elementary,E,KI-5,Y-R,N/A,779,126,131,117,111,145,149,,,,,,,,,379,400,3,39,73,77,,20,567,0.4%,5.0%,9.4%,9.9%,0.0%,2.6%,72.8%,119,15.3%,18,2.3%,37,4.8%,NO,86.9%,Dst,Hgh,No,Southern Wake,Susan Evans,Southwestern Area,Julye Mizelle,Cary,CARY,35,779,5,659,5,779,14.8%,100.0%
524,Olds Elementary,E,KI-5,T,N/A,302,53,46,48,61,52,42,,,,,,,,,149,153,1,11,73,17,,11,189,0.3%,3.6%,24.2%,5.6%,0.0%,3.6%,62.6%,71,23.5%,5,1.7%,6,2.0%,NO,87%,Dst,Hgh,Yes,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,18,302,111,149,0,260,0.0%,116.2%
523,Olive Chapel Elementary,E,KI-5,Y-R,N/A,933,141,137,148,176,170,161,,,,,,,,,467,466,1,40,43,77,3,34,735,0.1%,4.3%,4.6%,8.3%,0.3%,3.6%,78.8%,86,9.2%,32,3.4%,42,4.5%,NO,91.1%,HE,Hgh,Yes,Southern Wake,Susan Evans,Southwestern Area,Julye Mizelle,Apex,APEX,36,933,51,733,14,"1,106",29.1%,84.4%
525,Partnership Elementary,E,KI-5,MOD,Partnership,340,57,52,45,61,58,67,,,,,,,,,178,162,3,9,87,45,,20,176,0.9%,2.6%,25.6%,13.2%,0.0%,5.9%,51.8%,99,29.1%,13,3.8%,27,7.9%,NO,75.5%,Pro,Exp,No,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,21,340,0,342,0,342,0.0%,99.4%
530,Penny Road Elementary,E,KI-5,T,N/A,599,92,102,95,106,99,105,,,,,,,,,312,287,3,20,104,71,,28,373,0.5%,3.3%,17.4%,11.9%,0.0%,4.7%,62.3%,161,26.9%,36,6.0%,51,8.5%,NO,83.4%,Dst,Hgh,No,Southern Wake,Susan Evans,Southwestern Area,Julye Mizelle,Cary,CARY,35,599,0,540,9,747,27.7%,80.2%
531,Pleasant Union Elementary,E,KI-5,Y-R,N/A,654,96,116,114,108,110,110,,,,,,,,,348,306,3,8,66,34,,27,516,0.5%,1.2%,10.1%,5.2%,0.0%,4.1%,78.9%,74,11.3%,9,1.4%,17,2.6%,NO,84.1%,Dst,Hgh,No,North Raleigh,Kevin Hill,Northern Area,Pamela Kinsey-Barker,Wake County,WAKE COUNTY,35,654,42,659,0,701,0.0%,93.3%
532,Poe Elementary,E,KI-5,T,Montessori,362,82,69,60,58,49,44,,,,,,,,,199,163,1,12,127,72,,13,137,0.3%,3.3%,35.1%,19.9%,0.0%,3.6%,37.8%,164,45.3%,38,10.5%,45,12.4%,YES,68.3%,NR,Not Met,No,East Raleigh,Keith Sutton,Central Area,Kevin Hobbs,Raleigh,RALEIGH,29,362,41,369,0,410,0.0%,88.3%
536,Powell Elementary,E,KI-5,T,Gifted & Talented,402,66,67,67,61,60,81,,,,,,,,,194,208,4,15,216,33,,17,117,1.0%,3.7%,53.7%,8.2%,0.0%,4.2%,29.1%,223,55.5%,5,1.2%,10,2.5%,YES,70.8%,Pro,Exp,No,East Raleigh,Keith Sutton,Central Area,Kevin Hobbs,Raleigh,RALEIGH,34,402,-18,458,0,440,0.0%,91.4%
540,Rand Road Elementary,E,KI-5,Y-R,N/A,561,90,91,88,89,106,97,,,,,,,,,293,268,4,5,87,69,,29,367,0.7%,0.9%,15.5%,12.3%,0.0%,5.2%,65.4%,178,31.7%,25,4.5%,27,4.8%,NO,84.4%,Dst,Hgh,Yes,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,35,561,0,540,8,724,25.4%,77.5%
542,Reedy Creek Elementary,E,KI-5,T,N/A,713,127,87,116,134,123,126,,,,,,,,,350,363,2,60,214,153,,32,252,0.3%,8.4%,30.0%,21.5%,0.0%,4.5%,35.3%,380,53.3%,57,8.0%,109,15.3%,YES,82%,Dst,Hgh,Yes,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,38,713,-69,609,9,747,27.7%,95.4%
302,River Bend Elementary,E,KI-5,Y-R,N/A,654,115,121,109,105,99,105,,,,,,,,,332,322,7,35,210,245,2,34,121,1.1%,5.4%,32.1%,37.5%,0.3%,5.2%,18.5%,372,56.9%,65,9.9%,155,23.7%,YES,77.7%,Pro,Hgh,No,Central Raleigh,Christine Kushner,Northeastern Area,Andre Smith,Raleigh,RALEIGH,51,654,-107,"1,078",0,971,0.0%,67.4%
544,Rolesville Elementary,E,KI-5,T,N/A,699,103,109,121,121,132,113,,,,,,,,,365,334,3,27,219,114,1,23,312,0.4%,3.9%,31.3%,16.3%,0.1%,3.3%,44.6%,297,42.5%,27,3.9%,54,7.7%,YES,83.4%,Dst,Hgh,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Rolesville,ROLESVILLE,34,699,0,517,9,724,28.6%,96.5%
548,Root Elementary,E,KI-5,T,Small School,434,93,72,66,63,56,84,,,,,,,,,208,226,2,4,115,21,,13,279,0.5%,0.9%,26.5%,4.8%,0.0%,3.0%,64.3%,116,26.7%,4,0.9%,7,1.6%,NO,72.3%,Pro,Exp,No,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,33,434,14,494,0,508,0.0%,85.4%
550,Salem Elementary,E,KI-5,Y-R,N/A,909,153,151,140,167,157,141,,,,,,,,,476,433,,93,32,164,,34,586,0.0%,10.2%,3.5%,18.0%,0.0%,3.7%,64.5%,181,19.9%,113,12.4%,119,13.1%,NO,88.3%,Dst,Hgh,No,Western Wake,Debra Goldman,Southwestern Area,Julye Mizelle,Apex,APEX,37,909,-4,756,14,"1,074",30.0%,84.6%
554,Sanford Creek Elementary,E,KI-5,Y-R,N/A,664,103,112,110,101,113,125,,,,,,,,,321,343,1,24,126,63,1,41,408,0.2%,3.6%,19.0%,9.5%,0.2%,6.2%,61.4%,175,26.4%,33,5.0%,47,7.1%,NO,82%,Dst,Hgh,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Rolesville,ROLESVILLE,40,664,-46,774,0,728,0.0%,91.2%
560,Smith Elementary,E,KI-5,T,International Baccalaureate PYP ,605,105,111,85,116,94,94,,,,,,,,,298,307,3,7,246,215,,24,110,0.5%,1.2%,40.7%,35.5%,0.0%,4.0%,18.2%,431,71.2%,65,10.7%,114,18.8%,YES,69.1%,Pro,Exp,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,WAKE COUNTY,51,605,-156,868,0,712,0.0%,85.0%
564,Stough Elementary,E,KI-5,T,Global Schools,598,107,112,93,106,75,105,,,,,,,,,310,288,2,31,191,145,1,28,200,0.3%,5.2%,31.9%,24.2%,0.2%,4.7%,33.4%,299,50.0%,75,12.5%,98,16.4%,YES,68.3%,Pro,Exp,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,29,598,-9,402,10,623,36.9%,96.0%
568,Swift Creek Elementary,E,KI-5,T,N/A,536,87,79,90,112,75,93,,,,,,,,,265,271,,22,102,74,,25,313,0.0%,4.1%,19.0%,13.8%,0.0%,4.7%,58.4%,180,33.6%,35,6.5%,51,9.5%,NO,85.9%,Dst,Hgh,No,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Julye Mizelle,Wake County,WAKE COUNTY,31,536,51,448,2,545,8.4%,98.3%
569,Sycamore Creek Elementary,E,KI-5,Y-R,N/A,"1,045",205,215,173,149,154,149,,,,,,,,,525,520,4,28,63,58,,49,843,0.4%,2.7%,6.0%,5.6%,0.0%,4.7%,80.7%,53,5.1%,2,0.2%,10,1.0%,NO,88.6%,Dst,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,51,"1,045",49,"1,078",0,"1,127",0.0%,92.7%
570,Timber Drive Elementary,E,KI-5,Y-R,Global Schools,633,102,87,99,116,123,106,,,,,,,,,329,304,2,10,205,66,1,40,309,0.3%,1.6%,32.4%,10.4%,0.2%,6.3%,48.8%,249,39.3%,16,2.5%,33,5.2%,YES,76.3%,Pro,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,36,633,-41,563,9,729,28.4%,86.8%
571,Turner Creek Elementary,E,KI-5,Y-R,N/A,897,142,156,133,173,143,150,,,,,,,,,449,448,4,129,95,72,4,36,557,0.4%,14.4%,10.6%,8.0%,0.4%,4.0%,62.1%,160,17.8%,27,3.0%,52,5.8%,NO,89.9%,Dst,Hgh,No,Southern Wake,Susan Evans,Western Area,Jacqueline Ellis,Cary,CARY,39,897,-4,802,8,982,18.7%,91.3%
572,Underwood Elementary,E,KI-5,T,Gifted & Talented,502,81,72,84,87,101,77,,,,,,,,,231,271,1,20,82,68,,30,301,0.2%,4.0%,16.3%,13.5%,0.0%,6.0%,60.0%,139,27.7%,29,5.8%,43,8.6%,NO,80.1%,Dst,Hgh,No,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,33,502,51,435,0,486,0.0%,103.3%
576,Vance Elementary,E,KI-5,Y-R,N/A,579,102,110,87,100,99,81,,,,,,,,,305,274,3,11,77,104,,23,361,0.5%,1.9%,13.3%,18.0%,0.0%,4.0%,62.3%,188,32.5%,28,4.8%,55,9.5%,YES,79.1%,Pro,Exp,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Wake County,WAKE COUNTY,28,579,-27,498,6,609,22.7%,95.1%
580,Vandora Springs Elementary,E,KI-5,T,N/A,519,95,80,76,78,84,106,,,,,,,,,270,249,2,5,187,90,,27,208,0.4%,1.0%,36.0%,17.3%,0.0%,5.2%,40.1%,249,48.0%,22,4.2%,44,8.5%,YES,76.4%,Pro,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Garner,GARNER,34,519,-29,517,5,603,19.1%,86.1%
584,Wake Forest Elementary,E,KI-5,T,N/A,626,82,106,107,114,104,113,,,,,,,,,330,296,1,20,136,61,1,38,369,0.2%,3.2%,21.7%,9.7%,0.2%,6.1%,58.9%,255,40.7%,20,3.2%,33,5.3%,YES,84.1%,Dst,Hgh,No,Northeast Wake,Chris Malone,Northeastern Area,Andre Smith,Wake Forest,WAKE FOREST,40,626,-46,655,0,609,0.0%,102.8%
593,Wakefield Elementary,E,KI-5,Y-R,N/A,729,107,122,100,143,113,144,,,,,,,,,377,352,4,55,150,124,2,28,366,0.5%,7.5%,20.6%,17.0%,0.3%,3.8%,50.2%,238,32.6%,54,7.4%,85,11.7%,YES,75.9%,Pro,Hgh,No,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,36,729,-18,733,11,968,26.1%,75.3%
597,Wakelon Elementary ,E,KI-5,T,N/A,561,95,89,81,107,86,103,,,,,,,,,293,268,4,5,217,142,,23,170,0.7%,0.9%,38.7%,25.3%,0.0%,4.1%,30.3%,402,71.7%,39,7.0%,73,13.0%,YES,73.5%,Pro,Hgh,Yes,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Zebulon,ZEBULON,46,561,-50,685,0,635,0.0%,88.3%
599,Walnut Creek Elementary ,E,.KI-5,T,N/A,891,185,175,127,116,136,152,,,,,,,,,447,444,2,4,615,221,,23,26,0.2%,0.4%,69.0%,24.8%,0.0%,2.6%,2.9%,599,67.2%,86,9.7%,139,15.6%,YES,,,,,East Raleigh,Keith Sutton,Southwestern Area,Julye Mizelle,Raleigh,RALEIGH,51,891,-20,800,0,780,0.0%,114.2%
596,Washington Elementary,E,KI-5,T,Gifted & Talented,603,105,94,93,98,100,113,,,,,,,,,318,285,5,210,100,74,1,18,195,0.8%,34.8%,16.6%,12.3%,0.2%,3.0%,32.3%,133,22.1%,45,7.5%,60,10.0%,NO,83.2%,Dst,Hgh,No,South Central Raleigh,Dr. Jim Martin,Central Area,Kevin Hobbs,Raleigh,RALEIGH,40,603,-34,569,0,535,0.0%,112.7%
598,Weatherstone Elementary,E,KI-5,T,N/A,571,78,88,82,100,102,121,,,,,,,,,283,288,2,80,81,104,,28,276,0.4%,14.0%,14.2%,18.2%,0.0%,4.9%,48.3%,178,31.2%,56,9.8%,72,12.6%,NO,83.9%,Dst,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,36,571,42,563,13,904,33.1%,63.2%
600,Wendell Elementary,E,KI-5,T,Creative Arts & Science,444,94,58,62,79,76,75,,,,,,,,,232,212,6,9,141,92,,30,166,1.4%,2.0%,31.8%,20.7%,0.0%,6.8%,37.4%,247,55.6%,40,9.0%,46,10.4%,YES,71.1%,Pro,Hgh,No,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Wendell,WENDELL,35,444,-9,469,2,506,9.1%,87.7%
606,West Lake Elementary,E,KI-5,Y-R,N/A,819,125,138,116,149,142,149,,,,,,,,,415,404,1,21,60,159,,33,545,0.1%,2.6%,7.3%,19.4%,0.0%,4.0%,66.5%,180,22.0%,51,6.2%,85,10.4%,NO,81.1%,Dst,Exp,No,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Julye Mizelle,Cary,CARY,35,819,-18,659,13,940,31.8%,87.1%
616,Wilburn Elementary,E,KI-5,Y-R,Renaissance School,608,91,96,100,105,109,107,,,,,,,,,303,305,4,32,290,138,1,34,109,0.7%,5.3%,47.7%,22.7%,0.2%,5.6%,17.9%,377,62.0%,45,7.4%,90,14.8%,YES,58.7%,Pri,Exp,No,East Raleigh,Keith Sutton,Northeastern Area,Andre Smith,Raleigh,RALEIGH,51,608,-484,"1,078",40,663,138.8%,91.7%
618,Wildwood Forest Elementary,E,KI-5,T,N/A,863,138,148,132,160,143,142,,,,,,,,,459,404,3,59,356,164,,43,238,0.3%,6.8%,41.3%,19.0%,0.0%,5.0%,27.6%,429,49.7%,53,6.1%,111,12.9%,YES,85.5%,Dst,Hgh,Yes,North Raleigh,Kevin Hill,Northeastern Area,Andre Smith,Raleigh,RALEIGH,37,863,-101,586,13,784,38.1%,110.1%
620,Wiley Elementary,E,KI-5,T,International Studies,462,64,84,75,93,73,73,,,,,,,,,219,243,,25,103,47,,36,251,0.0%,5.4%,22.3%,10.2%,0.0%,7.8%,54.3%,115,24.9%,14,3.0%,28,6.1%,NO,82.9%,Dst,Hgh,No,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,30,462,-11,417,0,406,0.0%,113.8%
624,Willow Springs Elementary,E,KI-5,Y-R,N/A,958,169,170,150,162,149,158,,,,,,,,,494,464,4,11,70,159,2,47,665,0.4%,1.1%,7.3%,16.6%,0.2%,4.9%,69.4%,313,32.7%,29,3.0%,63,6.6%,NO,87.8%,Dst,Hgh,No,Southeast Wake,John Tedesco,Southern Area,Lloyd Gardner,Wake County,WAKE COUNTY,32,958,5,641,16,"1,014",36.3%,94.5%
626,Yates Mill Elementary,E,KI-5,T,N/A,546,90,105,87,84,88,92,,,,,,,,,282,264,2,9,50,141,,15,329,0.4%,1.6%,9.2%,25.8%,0.0%,2.7%,60.3%,217,39.7%,48,8.8%,90,16.5%,YES,79.6%,Pro,Exp,Yes,South Central Raleigh,Dr. Jim Martin,Southwestern Area,Julye Mizelle,Wake County,WAKE COUNTY,37,546,-41,586,0,545,0.0%,100.2%
628,York Elementary,E,KI-5,T,STEM Schools,501,117,93,79,73,68,71,,,,,,,,,263,238,1,7,144,110,,23,216,0.2%,1.4%,28.7%,22.0%,0.0%,4.6%,43.1%,238,47.5%,14,2.8%,47,9.4%,YES,82.6%,Dst,Hgh,No,West Raleigh/Morrisville,Deborah Prickett,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,33,501,-9,494,4,577,15.9%,86.8%
632,Zebulon Elementary,E,KI-5,T,Gifted & Talented,504,86,82,81,106,70,79,,,,,,,,,221,283,2,3,151,125,,22,201,0.4%,0.6%,30.0%,24.8%,0.0%,4.4%,39.9%,324,64.3%,49,9.7%,66,13.1%,YES,80.7%,Dst,Exp,Yes,Northeast Wake,Chris Malone,Eastern Area,Danny Barnes,Zebulon,ZEBULON,41,504,-64,592,4,620,14.8%,81.3%
312,Apex Middle ,M,.6-8,T,N/A,"1,092",,,,,,,376,322,394,,,,,,559,533,4,36,125,128,,47,752,0.4%,3.3%,11.4%,11.7%,0.0%,4.3%,68.9%,240,22.0%,26,2.4%,41,3.8%,NO,90.1%,Exc,Hgh,No,Southern Wake,Susan Evans,Southwestern Area,Julye Mizelle,Apex,APEX,63,"1,092",85,"1,059",0,"1,144",0.0%,95.5%
356,Carnage Middle,M,.6-8,T,Gifted & Talented/AG Basics,"1,185",,,,,,,417,367,401,,,,,,637,548,6,337,435,74,1,47,285,0.5%,28.4%,36.7%,6.2%,0.1%,4.0%,24.1%,384,32.4%,11,0.9%,41,3.5%,NO,81.6%,Dst,Hgh,No,East Raleigh,Keith Sutton,Central Area,Kevin Hobbs,Raleigh,RALEIGH,60,"1,185",25,955,7,"1,162",15.7%,102.0%
360,Carroll Middle,M,.6-8,T,STEM Schools,695,,,,,,,211,240,244,,,,,,386,309,2,16,282,127,,37,231,0.3%,2.3%,40.6%,18.3%,0.0%,5.3%,33.2%,400,57.6%,32,4.6%,59,8.5%,NO,64.1%,NR,Not Met,No,Central Raleigh,Christine Kushner,Northern Area,Pamela Kinsey-Barker,Raleigh,RALEIGH,54,695,43,825,0,868,0.0%,80.1%
370,Centennial Campus Middle,M,.6-8,MOD,University Connections and Leadership,628,,,,,,,201,220,207,,,,,,326,302,1,22,247,108,2,30,218,0.2%,3.5%,39.3%,17.2%,0.3%,4.8%,34.7%,271,43.2%,38,6.1%,59,9.4%,NO,79.2%,Pro,Hgh,No,South Central Raleigh,Dr. Jim Martin,Central Area,Kevin Hobbs,Raleigh,RALEIGH,42,628,0,624,0,624,0.0%,100.6%
388,Daniels Middle,M,.6-8,T,N/A,"1,153",,,,,,,387,369,397,,,,,,580,573,3,39,355,153,,36,567,0.3%,3.4%,30.8%,13.3%,0.0%,3.1%,49.2%,464,40.2%,45,3.9%,88,7.6%,NO,81.4%,Dst,Exp,No,Central Raleigh,Christine Kushner,Central Area,Kevin Hobbs,Raleigh,RALEIGH,64,"1,153",-53,"1,085",6,"1,188",13.1%,97.1%
391,Davis Drive Middle,M,.6-8,T,N/A,"1,189",,,,,,,382,408,399,,,,,,593,596,2,257,72,74,2,44,738,0.2%,21.6%,6.1%,6.2%,0.2%,3.7%,62.1%,120,10.1%,22,1.9%,35,2.9%,NO,90.9%,Exc,Hgh,No,Western Wake,Debra Goldman,Western Area,Jacqueline Ellis,Cary,CARY,56,"1,189",-10,877,11,"1,127",25.4%,105.5%
